periodo,rama,sector,value
Enero 2026,111,"1111 Semillas Oleaginosas y Granos",3154405
Enero 2026,111,"1112 Hortalizas y Melones",574051319
Enero 2026,111,"1113 Frutas y Nueces",873465304
Enero 2026,111,"1114 Hongos, Viveros...",241459663
Enero 2026,111,"1119 Otros Productos Agricolas",8393942
Enero 2026,112,"1125 Pescado de Cultivo",7882352
Enero 2026,112,"1129 Otros Animales",1768440
Enero 2026,113,"1132 Productos Forestales",3148225
Enero 2026,114,"1141 Pescados y Mariscos",39100594
Enero 2026,211,"2111 Petroleo y Gas",477864773
Enero 2026,212,"2121 Carbon y Gases de Petroleo",22610
Enero 2026,212,"2122 Minerales Metalicos",8485742
Enero 2026,212,"2123 Minerales no Metalicos",167576
Enero 2026,311,"3111 Alimentos para Animales",20641369
Enero 2026,311,"3112 Molienda de Granos y Semillas",35147817
Enero 2026,311,"3113 Azucar y Confiteria",125184715
Enero 2026,311,"3114 Conservas de Frutas y Verduras",161874910
Enero 2026,311,"3115 Productos Lacteos",13813936
Enero 2026,311,"3116 Productos de Carne",72477524
Enero 2026,311,"3117 Prep. de Productos del Mar",14457495
Enero 2026,311,"3118 Panaderia y Tortilla",222668582
Enero 2026,311,"3119 Otros Productos Alimenticios",195701833
Enero 2026,312,"3121 Bebidas",622432882
Enero 2026,312,"3122 Productos de Tabaco",1699042
Enero 2026,313,"3131 Fibra, Hilo y Hebra",4016666
Enero 2026,313,"3132 Fabricas de Tejidos",43530664
Enero 2026,313,"3133 Acabado de Textiles",10565860
Enero 2026,314,"3141 Mobiliario Textil",42564240
Enero 2026,314,"3149 Otros Productos Textiles",52627914
Enero 2026,315,"3151 Tejido de Prendas de Vestir",24209559
Enero 2026,315,"3152 Ropa de Corte y Confeccion",204987013
Enero 2026,315,"3159 Accesorios de Vestir",4048496
Enero 2026,316,"3161 Curtido de Cuero",12809228
Enero 2026,316,"3162 Calzado",38164057
Enero 2026,316,"3169 Otros Productos de Cuero",26867375
Enero 2026,321,"3211 Productos de Aserradero",269781
Enero 2026,321,"3212 Chapas y Contrachapados",4124976
Enero 2026,321,"3219 Otros Productos de Madera",78943632
Enero 2026,322,"3221 Fabricas de Pulpa y Papel",13915082
Enero 2026,322,"3222 Papel Convertido",227549723
Enero 2026,323,"3231 Impresion",28886369
Enero 2026,324,"3241 Petroleo y Carbon",348981665
Enero 2026,325,"3251 Quimicos Basicos",146194689
Enero 2026,325,"3252 Resina y Caucho Sintetico",125188827
Enero 2026,325,"3253 Quimicos Agricolas",22822187
Enero 2026,325,"3254 Farmaceuticos",115277872
Enero 2026,325,"3255 Pinturas y Adhesivos",20853503
Enero 2026,325,"3256 Jabones y Tocador",156383188
Enero 2026,325,"3259 Otros Productos Quimicos",69273574
Enero 2026,326,"3261 Productos de Plastico",663242782
Enero 2026,326,"3262 Productos de Caucho",224424754
Enero 2026,327,"3271 Productos de Arcilla",38481498
Enero 2026,327,"3272 Productos de Vidrio",137397754
Enero 2026,327,"3273 Cemento y Concreto",23414902
Enero 2026,327,"3274 Cal y Yeso",6681023
Enero 2026,327,"3279 Otros no Metalicos",42777176
Enero 2026,331,"3311 Hierro y Acero",236896200
Enero 2026,331,"3312 Productos de Acero",142104381
Enero 2026,331,"3313 Alumina y Aluminio",158356877
Enero 2026,331,"3314 Metales no Ferrosos",204998394
Enero 2026,331,"3315 Fundiciones",66453669
Enero 2026,332,"3321 Forja y Estampado",133446002
Enero 2026,332,"3322 Cuchilleria y Herramientas",114674068
Enero 2026,332,"3323 Metales Estructurales",196884810
Enero 2026,332,"3324 Calderas y Tanques",40536780
Enero 2026,332,"3325 Herrajes",33902996
Enero 2026,332,"3326 Resortes y Alambres",39396781
Enero 2026,332,"3327 Talleres de Maquinado",105995449
Enero 2026,332,"3328 Recubrimiento y Tratamiento Termico",20427806
Enero 2026,332,"3329 Otros Metales Fabricados",273678384
Enero 2026,333,"3331 Maquinaria Agricola y Minera",393452285
Enero 2026,333,"3332 Maquinaria Industrial",66497576
Enero 2026,333,"3333 Maquinaria Comercial",115222014
Enero 2026,333,"3334 Equipos de HVAC",435749821
Enero 2026,333,"3335 Maquinaria para Metalmecanica",54495535
Enero 2026,333,"3336 Motores y Transmision de Potencia",313364998
Enero 2026,333,"3339 Otra Maquinaria General",339654030
Enero 2026,334,"3341 Equipo de Computo",9705711925
Enero 2026,334,"3342 Equipos de Comunicacion",1416958872
Enero 2026,334,"3343 Equipos de Audio y Video",1052154388
Enero 2026,334,"3344 Semiconductores",546874967
Enero 2026,334,"3345 Inst. de Navegacion/Medicos",1116262046
Enero 2026,334,"3346 Medios Magneticos",34386092
Enero 2026,335,"3351 Iluminacion Electrica",141474967
Enero 2026,335,"3352 Electrodomesticos",611313744
Enero 2026,335,"3353 Equipo Electrico",1664417893
Enero 2026,335,"3359 Otros Comp. Electricos",1238395173
Enero 2026,336,"3361 Vehiculos de Motor",4658965161
Enero 2026,336,"3362 Carrocerias y Remolques",129630645
Enero 2026,336,"3363 Partes de Vehiculos de Motor",4990978439
Enero 2026,336,"3364 Productos Aeroespaciales",275329754
Enero 2026,336,"3365 Material Rodante Ferroviario",13170719
Enero 2026,336,"3366 Barcos y Botes",52803554
Enero 2026,336,"3369 Otro Equipo de Transporte",14763132
Enero 2026,337,"3371 Muebles para el Hogar",310725020
Enero 2026,337,"3372 Muebles de Oficina",121067637
Enero 2026,337,"3379 Otros Muebles",34684739
Enero 2026,339,"3391 Suministros Medicos",1196712002
Enero 2026,339,"3399 Manufacturas Diversas",493799961
Enero 2026,910,"9100 Desechos y Chatarra",155688014
Enero 2026,930,"9300 Mercancia Usada",7740362
Enero 2026,980,"9800 Mercancias Devueltas",879917018
Enero 2026,990,"9900 Clasificacion Especial",277695846